Title,UrlName,Summary,Language,RecordTypeId,Question__c,Answer__c,Procedure_Body__c,Procedure_Audience__c,Abstract__c,Body__c
"Why is my monthly bill higher than the estimate in my proposal?","why-is-my-bill-higher-than-expected","Common reasons a Brightline invoice exceeds the original production estimate, and how to check each one.","en_US","012ak00000DBeyjAAD","<p>My proposal said I'd pay about $118/month. My last two invoices were $164 and $171. Why?</p>","<h2>Short answer</h2><p>Your invoice has two parts: the <b>fixed financing payment</b> (which never changes) and the <b>utility true-up</b> for any power you drew from the grid. The second part is what moves.</p><h2>Check these first</h2><ol><li><b>Production vs. estimate.</b> Open <i>Brightline Home → Reports → Monthly Production</i> and compare to the proposal. Anything below 85% of estimate for two months in a row should be <a href=""/articles/Knowledge/report-low-production"">reported as low production</a>.</li><li><b>Usage increase.</b> A new EV charger, heat pump, or pool pump can add 300–600 kWh/month.</li><li><b>Utility rate change.</b> Most utilities adjusted time-of-use rates in the last 12 months. Your true-up is billed at the utility's current rate, not the rate in the proposal.</li><li><b>Shading or soiling.</b> See <a href=""/articles/Knowledge/clean-solar-panels"">cleaning your panels</a>.</li></ol><table border=""1"" cellpadding=""4""><thead><tr><th>Line item</th><th>Changes month to month?</th><th>Where to check</th></tr></thead><tbody><tr><td>Financing payment</td><td>No</td><td>Loan agreement</td></tr><tr><td>Utility true-up</td><td>Yes</td><td>Utility bill, page 2</td></tr><tr><td>Monitoring subscription</td><td>Only at renewal</td><td>Account → Plan</td></tr></tbody></table><p><span style=""color:#b00020""><b>Note:</b></span> Brightline does not bill you for grid power. That charge comes from your utility; we show it in the app for convenience.</p>","","","",""
"What do the alert colors in Brightline Home mean?","what-do-the-alert-colors-mean","Meaning of green, amber, and red system status and which alerts need action.","en_US","012ak00000DBeyjAAD","<p>My app shows an amber dot. Do I need to do something?</p>","<table border=""1"" cellpadding=""6""><thead><tr><th>Color</th><th>Meaning</th><th>Action</th></tr></thead><tbody><tr><td><span style=""color:#2e7d32""><b>Green</b></span></td><td>Producing normally</td><td>None</td></tr><tr><td><span style=""color:#f9a825""><b>Amber</b></span></td><td>Producing, but below expected, or one inverter offline</td><td>Watch for 48 hours; if it persists, <a href=""/articles/Knowledge/report-low-production"">report it</a></td></tr><tr><td><span style=""color:#c62828""><b>Red</b></span></td><td>No production for 24+ hours during daylight</td><td>Run the <a href=""/articles/Knowledge/restart-inverter"">inverter restart</a>, then contact support</td></tr><tr><td>Grey</td><td>No data received</td><td>Check Wi-Fi; see <a href=""/articles/Knowledge/reconnect-gateway-wifi"">reconnect the gateway</a></td></tr></tbody></table><p>Amber during heavy cloud cover, snow, or the first week after install is normal.</p>","","","",""
"What are the Partner API rate limits?","partner-api-rate-limits","Request limits per tier, the headers returned, and how to handle 429 responses.","en_US","012ak00000DBeyjAAD","<p>We're getting HTTP 429 from the sites endpoint. What are the limits?</p>","<table border=""1"" cellpadding=""4""><thead><tr><th>Tier</th><th>Requests / minute</th><th>Requests / day</th></tr></thead><tbody><tr><td>Sandbox</td><td>60</td><td>5,000</td></tr><tr><td>Partner</td><td>600</td><td>200,000</td></tr><tr><td>Enterprise</td><td>3,000</td><td>Unlimited</td></tr></tbody></table><p>Every response includes:</p><pre>X-RateLimit-Limit: 600
X-RateLimit-Remaining: 412
X-RateLimit-Reset: 1719856800</pre><p>On a 429, wait until <code>X-RateLimit-Reset</code> (Unix seconds) and retry. Bulk production history should use the <a href=""/articles/Knowledge/partner-api-bulk-export"">bulk export endpoint</a>, which is not rate-limited per request.</p>","","","",""
"Set up autopay","set-up-autopay","Enroll a bank account or card for automatic monthly payments.","en_US","012ak00000DBeylAAD","","","<p><b>Before you start:</b> have your bank routing and account number, or a card, ready. Autopay drafts on the 10th of each month.</p><h2>Steps</h2><ol><li>Open Brightline Home and go to <i>Billing → Payment methods</i>.</li><li>Tap <b>Add payment method</b> and choose <b>Bank account</b> or <b>Card</b>.</li><li>Enter the details and tap <b>Verify</b>. Bank accounts receive two micro-deposits within 2 business days; return to this screen to confirm the amounts.</li><li>Once verified, toggle <b>Use for autopay</b>.</li><li>Confirm the authorization text and tap <b>Enable autopay</b>.</li></ol><p><img src=""https://placehold.co/600x320/png?text=Billing+%E2%86%92+Payment+methods"" alt=""Payment methods screen""></p><h2>To turn autopay off</h2><p>Return to <i>Payment methods</i>, open the method, and toggle <b>Use for autopay</b> off. Do this at least <b>3 business days</b> before the 10th to avoid that month's draft.</p>","All customers","",""
"Enable two-factor authentication","enable-two-factor-authentication","Add an authenticator app or SMS code to your login.","en_US","012ak00000DBeylAAD","","","<ol><li>Go to <i>Account → Security</i>.</li><li>Tap <b>Two-factor authentication → Set up</b>.</li><li>Choose <b>Authenticator app</b> (recommended) or <b>SMS</b>.</li><li>Scan the QR code or enter the phone number, then enter the 6-digit code.</li><li><b>Save your backup codes.</b> You'll need one if you lose your phone.</li></ol><p><span style=""color:#b00020""><b>Warning:</b></span> enabling 2FA signs you out of all devices, including household members' devices.</p>","All customers","",""
"Restart your inverter","restart-inverter","Safe power-cycle procedure for the inverter when the app shows a red alert.","en_US","012ak00000DBeylAAD","","","<p><span style=""color:#b00020""><b>Safety:</b></span> do not open any enclosure. This procedure only uses the external switches and breakers.</p><h2>Steps</h2><ol><li>Locate the <b>AC disconnect</b> (grey box next to your utility meter) and switch it <b>OFF</b>.</li><li>Locate the <b>DC disconnect</b> on the inverter and switch it <b>OFF</b>.</li><li>Wait <b>5 minutes</b>. The inverter display will go dark.</li><li>Switch the DC disconnect <b>ON</b>.</li><li>Switch the AC disconnect <b>ON</b>.</li><li>Wait up to 10 minutes for the inverter to reconnect to the grid. The display should show a production reading.</li></ol><p><img src=""https://placehold.co/600x400/png?text=AC+and+DC+disconnect+locations"" alt=""Disconnect locations""></p><p>If the alert persists after 30 minutes, <a href=""/articles/Knowledge/report-low-production"">submit a service request</a>.</p>","All customers","",""
"Get a Partner API access token","partner-api-get-access-token","OAuth client credentials flow for server-to-server integrations.","en_US","012ak00000DBeylAAD","","","<p>Prerequisite: a Partner API application with a client ID and secret from the <a href=""https://partners.brightlinesolar.com"">Partner Portal</a>.</p><h2>Request</h2><pre>POST https://api.brightlinesolar.com/oauth/token
Content-Type: application/x-www-form-urlencoded

grant_type=client_credentials&amp;client_id=YOUR_ID&amp;client_secret=YOUR_SECRET&amp;scope=sites:read production:read</pre><h2>Response</h2><pre>{
  ""access_token"": ""eyJ..."",
  ""token_type"": ""Bearer"",
  ""expires_in"": 3600
}</pre><p>Cache the token and refresh it before expiry. Tokens are not revoked on rotation of the secret for 10 minutes, giving you a rollover window.</p><p>Next: <a href=""/articles/Knowledge/partner-api-overview"">Partner API overview</a>.</p>","Developers","",""
"Export production history in bulk","partner-api-bulk-export","Use the asynchronous export endpoint for large date ranges.","en_US","012ak00000DBeylAAD","","","<ol><li>Create a job: <pre>POST /v2/exports
{ ""site_ids"": [""...""], ""from"": ""2025-01-01"", ""to"": ""2025-12-31"", ""granularity"": ""hourly"" }</pre></li><li>Poll <code>GET /v2/exports/{id}</code> until <code>status</code> is <code>ready</code>. Typical wait: 30–120 seconds.</li><li>Download <code>download_url</code> (a signed URL valid for 1 hour). Files are gzipped CSV.</li></ol><p>Jobs are limited to 500 sites and 3 years each. Export jobs do not count against the <a href=""/articles/Knowledge/partner-api-rate-limits"">per-request rate limit</a>.</p>","Developers","",""
"Set up a webhook for alert events","partner-api-set-up-webhook","Receive alert.opened and alert.closed events instead of polling.","en_US","012ak00000DBeylAAD","","","<ol><li>Register an endpoint: <pre>POST /v2/webhooks
{ ""url"": ""https://example.com/hooks/brightline"", ""events"": [""alert.opened"", ""alert.closed"", ""site.pto""] }</pre></li><li>Store the returned <code>signing_secret</code>.</li><li>Verify each delivery by computing HMAC-SHA256 of the raw body with the secret and comparing to the <code>X-Brightline-Signature</code> header.</li><li>Respond with 2xx within 5 seconds. Failed deliveries retry with exponential backoff for 24 hours.</li></ol><p>Payload example:</p><pre>{
  ""event"": ""alert.opened"",
  ""site_id"": ""st_48a1"",
  ""severity"": ""red"",
  ""occurred_at"": ""2026-06-12T14:03:00Z""
}</pre>","Developers","",""
"New In-App Weather Delay Tracker Now Live in Brightline Home","weather-delay-real-time-tracker-launch","Brightline Home now includes a real-time weather delay tracker so customers can monitor their installation status and expected reschedule timeline without calling support.","en_US","012ak00000DBeykAAD","","","","","<p>As of March 3, 2025, customers with an upcoming installation appointment can open the Brightline Home app and view a live weather delay status card that shows the specific condition causing any hold, the estimated window for rescheduling, and a direct link to accept or decline a newly offered date — all without contacting support.</p>","<p>Brightline Solar launched the <strong>Weather Delay Tracker</strong> inside the Brightline Home app on <strong>March 3, 2025</strong>. The tracker is visible to any customer whose installation appointment falls within the next <strong>14 calendar days</strong>.</p><h3>Where to find it</h3><p>Open Brightline Home → tap <strong>My Project</strong> → select <strong>Appointment Details</strong> → scroll to the <strong>Weather Status</strong> card.</p><h3>Status indicators</h3><table><thead><tr><th>Status</th><th>Meaning</th></tr></thead><tbody><tr><td><span style=""color:green"">On Schedule</span></td><td>No weather concerns detected for your window</td></tr><tr><td><span style=""color:orange"">Watch</span></td><td>Borderline conditions; monitoring hourly</td></tr><tr><td><span style=""color:red"">Delayed</span></td><td>Appointment cancelled; reschedule offer pending</td></tr><tr><td>Rescheduled</td><td>New date confirmed; tap to accept</td></tr></tbody></table><p>Customers have <strong>24 hours</strong> to accept a rescheduled date through the app before the slot is released. If no action is taken, the system will auto-assign the next available date and send a confirmation. A reschedule offer declined twice within the same delay event will require a manual call to the Scheduling team (reference code <strong>WD-MANUAL</strong>).</p><p>For same-day arrival window communications related to your rescheduled appointment, see <a href=""/kb/same-day-crew-arrival-window-updates"">Same-Day Crew Arrival Window Updates</a>.</p>"
